5L profile	Denmark	France	Germany	Japan	Netherlands	Spain	Thailand	UK	US	Zimbabwe
35424	0.297	-0.058	0.281	0.447	0.175	-0.015	0.090	0.061	0.325	0.378
35425	0.145	-0.116	0.248	0.422	0.073	-0.057	0.050	-0.023	0.271	0.313
35431	0.500	0.066	0.291	0.518	0.381	0.069	0.146	0.189	0.424	0.473
35432	0.446	-0.005	0.291	0.468	0.282	0.020	0.120	0.133	0.374	0.436
35433	0.432	-0.024	0.291	0.455	0.257	0.007	0.114	0.118	0.361	0.427
35434	0.285	-0.080	0.259	0.431	0.158	-0.033	0.075	0.037	0.312	0.365
35435	0.133	-0.138	0.226	0.406	0.056	-0.075	0.036	-0.047	0.260	0.300
35441	0.366	0.005	0.210	0.472	0.284	0.001	0.091	0.084	0.347	0.379
35442	0.312	-0.066	0.210	0.422	0.185	-0.049	0.066	0.028	0.304	0.342
35443	0.298	-0.085	0.210	0.409	0.160	-0.061	0.059	0.013	0.293	0.333
35444	0.151	-0.141	0.178	0.385	0.061	-0.102	0.021	-0.068	0.245	0.271
35445	-0.001	-0.199	0.145	0.360	-0.041	-0.143	-0.019	-0.152	0.195	0.206
35451	0.166	-0.087	0.088	0.404	0.138	-0.103	0.009	-0.074	0.231	0.238
35452	0.112	-0.158	0.088	0.354	0.039	-0.152	-0.017	-0.130	0.198	0.201
35453	0.098	-0.177	0.088	0.341	0.014	-0.165	-0.023	-0.145	0.190	0.192
35454	-0.049	-0.233	0.056	0.317	-0.085	-0.205	-0.062	-0.226	0.144	0.130
35455	-0.202	-0.291	0.023	0.292	-0.187	-0.247	-0.101	-0.310	0.097	0.065
35511	0.497	0.156	0.403	0.538	0.450	0.075	0.178	0.273	0.424	0.478
35512	0.443	0.085	0.403	0.488	0.352	0.026	0.153	0.217	0.403	0.442
35513	0.429	0.066	0.403	0.475	0.326	0.013	0.146	0.202	0.397	0.432
35514	0.282	0.010	0.371	0.451	0.227	-0.027	0.108	0.121	0.339	0.370
35515	0.130	-0.048	0.338	0.426	0.125	-0.069	0.068	0.037	0.279	0.305
35521	0.447	0.066	0.313	0.474	0.381	0.004	0.120	0.175	0.389	0.424
35522	0.393	-0.005	0.313	0.424	0.283	-0.046	0.095	0.118	0.353	0.388
35523	0.379	-0.024	0.313	0.411	0.257	-0.058	0.088	0.104	0.344	0.378
35524	0.233	-0.080	0.281	0.387	0.159	-0.099	0.050	0.023	0.295	0.316
35525	0.080	-0.138	0.248	0.362	0.056	-0.140	0.010	-0.062	0.244	0.251
35531	0.435	0.044	0.291	0.458	0.364	-0.014	0.106	0.150	0.380	0.411
35532	0.381	-0.027	0.291	0.408	0.266	-0.063	0.081	0.094	0.341	0.375
